backend,threads,N,count,known_count,verified,median_elapsed_s,min_elapsed_s,peak_rss_bytes,peak_support,tensor_entries_examined,tensor_entries_matched,row_operator_candidates,row_operator_matched,repeats
dense_scan_hash,1,12,14200,14200,true,0.114895000,0.112918800,28127232,188100,17,17,8461752,789394,3
dense_scan_hash,1,13,73712,73712,true,0.765185600,0.749145000,144908288,978362,17,17,47909758,4201149,3
dense_scan_hash,1,14,365596,365596,true,5.643897800,5.631616200,698613760,5479934,17,17,286010088,23859616,3
sparse_iterator_hash,1,12,14200,14200,true,0.086761300,0.085454100,28143616,188100,17,17,789394,789394,3
sparse_iterator_hash,1,13,73712,73712,true,0.594949600,0.585960500,144920576,978362,17,17,4201149,4201149,3
sparse_iterator_hash,1,14,365596,365596,true,4.648313500,4.433339300,698609664,5479934,17,17,23859616,23859616,3
dense_scan_sort_reduce,1,13,73712,73712,true,0.459742800,0.453182200,106663936,978362,17,17,47909758,4201149,3
dense_scan_sort_reduce,1,14,365596,365596,true,2.742459600,2.729517800,465747968,5479934,17,17,286010088,23859616,3
dense_scan_sort_reduce,1,15,2279184,2279184,true,16.906128400,16.896274300,3023462400,32120057,17,17,1783273650,143138637,3
sparse_iterator_sort_reduce,1,13,73712,73712,true,0.323347700,0.319473500,106778624,978362,17,17,4201149,4201149,5
sparse_iterator_sort_reduce,1,14,365596,365596,true,1.935669800,1.932431000,465072128,5479934,17,17,23859616,23859616,5
sparse_iterator_sort_reduce,1,15,2279184,2279184,true,12.286512000,12.266103100,3023536128,32120057,17,17,143138637,143138637,5
dense_scan_parallel_sort_reduce,16,13,73712,73712,true,0.113051200,0.111308300,96227328,978362,17,17,47909758,4201149,5
dense_scan_parallel_sort_reduce,16,14,365596,365596,true,0.617890900,0.608327700,408342528,5479934,17,17,286010088,23859616,5
dense_scan_parallel_sort_reduce,16,15,2279184,2279184,true,3.725101500,3.691719900,2274975744,32120057,17,17,1783273650,143138637,5
sparse_iterator_parallel_sort_reduce,16,13,73712,73712,true,0.101730200,0.099589900,96272384,978362,17,17,4201149,4201149,5
sparse_iterator_parallel_sort_reduce,16,14,365596,365596,true,0.552422000,0.538471400,407511040,5479934,17,17,23859616,23859616,5
sparse_iterator_parallel_sort_reduce,16,15,2279184,2279184,true,3.566499700,3.552474400,2272256000,32120057,17,17,143138637,143138637,5
