variant,code_commit,N,count,verified,repeats,median_elapsed_s,min_elapsed_s,peak_rss_bytes,peak_states,tensor_entries_examined,tensor_entries_matched
baseline,f51f3a3,10,724,true,3,0.021061500,0.020360900,7831552,8838,7820816,493812
indexed,20b5334f55819ab0b4bdce7aa701527de736c3dc,10,724,true,3,0.016568700,0.016239000,7819264,8838,493812,493812
baseline,f51f3a3,11,2680,true,3,0.110499900,0.107687700,15065088,39307,39941024,2506357
indexed,20b5334f55819ab0b4bdce7aa701527de736c3dc,11,2680,true,3,0.082915500,0.081612000,15065088,39307,2506357,2506357
baseline,f51f3a3,12,14200,true,3,0.575258800,0.560782300,39108608,188100,217658123,13592813
indexed,20b5334f55819ab0b4bdce7aa701527de736c3dc,12,14200,true,3,0.489593900,0.489434200,39161856,188100,13592813,13592813
baseline,f51f3a3,13,73712,true,5,4.264958900,3.778346500,212561920,978362,1242983084,77317801
indexed,20b5334f55819ab0b4bdce7aa701527de736c3dc,13,73712,true,5,3.408420100,2.783446200,212357120,978362,77317801,77317801
baseline,f51f3a3,14,365596,true,3,25.191505300,24.076416300,1034248192,5479934,7498659064,464957208
indexed,20b5334f55819ab0b4bdce7aa701527de736c3dc,14,365596,true,3,19.308394000,19.033616900,1034596352,5479934,464957208,464957208
