variant,code_commit,N,count,verified,repeats,median_elapsed_s,min_elapsed_s,peak_rss_bytes,peak_states,tensor_entries_examined,tensor_entries_matched
baseline,20b5334f55819ab0b4bdce7aa701527de736c3dc,10,724,true,3,0.016568700,0.016239000,7819264,8838,493812,493812
packed_u128,dde47b7fad35e6d2cbd94422d2f70559ca80d883,10,724,true,3,0.019144100,0.015768100,7036928,8838,493812,493812
baseline,20b5334f55819ab0b4bdce7aa701527de736c3dc,11,2680,true,3,0.082915500,0.081612000,15065088,39307,2506357,2506357
packed_u128,dde47b7fad35e6d2cbd94422d2f70559ca80d883,11,2680,true,3,0.077946400,0.076387300,11685888,39307,2506357,2506357
baseline,20b5334f55819ab0b4bdce7aa701527de736c3dc,12,14200,true,3,0.489593900,0.489434200,39161856,188100,13592813,13592813
packed_u128,dde47b7fad35e6d2cbd94422d2f70559ca80d883,12,14200,true,3,0.483585500,0.475956900,28160000,188100,13592813,13592813
baseline,20b5334f55819ab0b4bdce7aa701527de736c3dc,13,73712,true,5,3.221071700,2.975042300,212357120,978362,77317801,77317801
packed_u128,dde47b7fad35e6d2cbd94422d2f70559ca80d883,13,73712,true,5,3.103225300,2.767898900,144674816,978362,77317801,77317801
baseline,20b5334f55819ab0b4bdce7aa701527de736c3dc,14,365596,true,3,19.308394000,19.033616900,1034596352,5479934,464957208,464957208
packed_u128,dde47b7fad35e6d2cbd94422d2f70559ca80d883,14,365596,true,3,17.611200900,17.496449600,698527744,5479934,464957208,464957208
