algorithm_class,N,chi,status,estimate,exact_count,absolute_error,relative_error,median_elapsed_s,min_elapsed_s,max_elapsed_s,estimate_min,estimate_max,repeats,warmup,peak_rss_bytes,peak_sparse_support,peak_dense_mps_elements,peak_retained_bond,peak_working_bond,peak_pretruncate_rank,svd_calls,truncated_svd_calls,max_discarded_fraction,sum_discarded_fraction,svd_elapsed_s,tensor_entries_examined,tensor_entries_accepted,blas_threads,julia_threads,truncation_occurred
truncated_boundary_mps_float64,5,0,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.025218726,0.024928820,0.025661476,9.9999999999999876,9.9999999999999876,3,1,400048128,NA,2056,15,15,15,184,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003333030,425,345,128,1,false
truncated_boundary_mps_float64,5,4,approximate_diagnostic,2.9729679710388366,10,7.0270320289611634,0.70270320289611632,0.014174250,0.014124679,0.014186180,2.9729679710388366,2.9729679710388366,3,1,400072704,NA,448,4,5,7,184,22,0.24999999999999933,1.3052013540055021,0.001542042,425,345,128,1,true
truncated_boundary_mps_float64,5,8,approximate_diagnostic,6.2636786436952017,10,3.7363213563047983,0.37363213563047981,0.022663574,0.022573642,0.094438723,6.2636786436952017,6.2636786436952017,3,1,397586432,NA,1646,8,14,14,184,18,0.16666666666666588,0.54798832662869912,0.002969035,425,345,128,1,true
truncated_boundary_mps_float64,5,16,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.024883080,0.024869589,0.024914250,9.9999999999999876,9.9999999999999876,3,1,383688704,NA,2056,15,15,15,184,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003256826,425,345,128,1,false
truncated_boundary_mps_float64,5,32,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.025200416,0.025156644,0.025660755,9.9999999999999876,9.9999999999999876,3,1,400482304,NA,2056,15,15,15,184,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003336074,425,345,128,1,false
truncated_boundary_mps_float64,5,64,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.024880019,0.024797228,0.035985576,9.9999999999999876,9.9999999999999876,3,1,383733760,NA,2056,15,15,15,184,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003233439,425,345,128,1,false
truncated_boundary_mps_float64,5,128,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.024547913,0.024445730,0.024610703,9.9999999999999876,9.9999999999999876,3,1,398565376,NA,2056,15,15,15,184,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003226574,425,345,128,1,false
truncated_boundary_mps_float64,6,0,floating_uncapped_check_pass,4.0000000000001208,4,1.2079226507921703e-13,3.0198066269804258e-14,0.123303224,0.123250472,0.127582651,4.0000000000001208,4.0000000000001208,3,1,511922176,NA,11024,31,31,31,285,0,1.2860242116757658e-28,6.6975050032809352e-28,0.025052091,612,516,128,1,false
truncated_boundary_mps_float64,6,4,approximate_diagnostic,-1.1049251186981552e-15,4,4.0000000000000009,1.0000000000000002,0.027672386,0.027612825,0.098348872,-1.1049251186981552e-15,-1.1049251186981552e-15,3,1,403386368,NA,600,4,6,7,285,54,0.24013710012525555,2.342352501808624,0.002391070,612,516,128,1,true
truncated_boundary_mps_float64,6,8,approximate_diagnostic,-1.9591210248077136e-14,4,4.0000000000000195,1.0000000000000049,0.048846550,0.048346579,0.061842586,-1.9591210248077136e-14,-1.9591210248077136e-14,3,1,407875584,NA,2238,8,13,15,285,52,0.20833333333330206,1.4820463496099598,0.005582894,612,516,128,1,true
