N,count,known_count,verified,median_elapsed_s,min_elapsed_s,p10_elapsed_s,p90_elapsed_s,peak_rss_bytes,threads,split_depth,tasks,recursive_nodes,candidate_placements,metrics_elapsed_s,repeats,warmup,algorithm_class,peak_sparse_support,local_tensor_entries_examined,local_tensor_entries_accepted
1,1,1,true,0.000000180,0.000000170,0.000000170,0.000000240,0,1,1,1,1,1,0.000002880,7,2,conventional_dfs_comparator,NA,NA,NA
2,0,0,true,0.000000320,0.000000309,0.000000309,0.000000449,0,1,1,1,2,1,0.000004890,7,2,conventional_dfs_comparator,NA,NA,NA
3,0,0,true,0.000000710,0.000000640,0.000000640,0.000000980,0,1,2,1,4,3,0.000006350,7,2,conventional_dfs_comparator,NA,NA,NA
4,2,2,true,0.000098053,0.000084682,0.000084682,0.000111712,0,2,3,2,8,8,0.000079112,7,2,conventional_dfs_comparator,NA,NA,NA
5,10,10,true,0.000398539,0.000376009,0.000376009,0.000407699,0,7,4,7,26,31,0.000421240,7,2,conventional_dfs_comparator,NA,NA,NA
6,4,4,true,0.000933691,0.000894911,0.000894911,0.000961722,0,20,5,20,75,76,0.000905700,7,2,conventional_dfs_comparator,NA,NA,NA
7,40,40,true,0.002675311,0.002579779,0.002579779,0.002708691,0,55,6,55,293,315,0.002683481,7,2,conventional_dfs_comparator,NA,NA,NA
8,92,92,true,0.006111080,0.005586017,0.005586017,0.006198141,0,128,7,156,983,1028,0.005616678,7,2,conventional_dfs_comparator,NA,NA,NA
9,352,352,true,0.007122633,0.006729174,0.006729174,0.007190264,0,128,8,620,4501,4703,0.007081722,7,2,conventional_dfs_comparator,NA,NA,NA
10,724,724,true,0.007800868,0.005981857,0.005981857,0.007987552,0,128,9,2020,17408,17769,0.006237183,7,2,conventional_dfs_comparator,NA,NA,NA
11,2680,2680,true,0.007419620,0.007257135,0.007257135,0.007440300,0,128,6,11450,89878,91392,0.007051271,7,2,conventional_dfs_comparator,NA,NA,NA
12,14200,14200,true,0.006924878,0.006528899,0.006528899,0.007036580,0,128,5,8426,420995,428094,0.006166981,7,2,conventional_dfs_comparator,NA,NA,NA
13,73712,73712,true,0.007789078,0.006848576,0.006848576,0.008442173,0,128,5,16599,2490838,2531728,0.008474854,7,2,conventional_dfs_comparator,NA,NA,NA
14,365596,365596,true,0.010901709,0.010784447,0.010784447,0.011230726,0,128,5,27034,13496479,13679276,0.011961633,7,2,conventional_dfs_comparator,NA,NA,NA
15,2279184,2279184,true,0.025698646,0.020807535,0.020807535,0.031484428,0,128,5,47460,90634738,91883698,0.025568513,7,2,conventional_dfs_comparator,NA,NA,NA
16,14772512,14772512,true,0.075594455,0.069453585,0.069453585,0.084995470,0,128,4,9844,563208896,570595151,0.096221146,7,2,conventional_dfs_comparator,NA,NA,NA
17,95815104,95815104,true,0.414400019,0.392838498,0.392838498,0.420009928,0,128,4,14272,4224112371,4276033036,0.472460405,7,2,conventional_dfs_comparator,NA,NA,NA
18,666090624,666090624,true,2.369721538,2.342117699,2.342117699,2.394185900,0,128,4,18132,29349876934,29682922245,2.885501709,7,2,conventional_dfs_comparator,NA,NA,NA
19,4968057848,4968057848,true,18.747813313,18.723393260,18.723393260,18.786415748,0,128,4,25080,242419099083,245088360108,22.607038493,7,2,conventional_dfs_comparator,NA,NA,NA
