N,mode,lanes,count,verified,median_elapsed_s,min_elapsed_s,p10_elapsed_s,p90_elapsed_s,peak_rss_bytes,threads,split_depth,tail_tasks,primes,residues,modulus_product,factorial_bound,recursive_nodes,recursive_accepted_entries,total_accepted_entries,repeats,warmup,algorithm_class,peak_sparse_support,local_tensor_entries_examined,local_tensor_entries_accepted,metrics_collected
1,scalar,3,1,true,0.002062447,0.002054357,0.002054357,0.002069057,0,128,1,1,4294967291|4294967279|4294967231,1|1|1,79228160909397609687688407659,1,0,0,1,7,2,certified_explicit_C_forced_CRT_last6_PEPS,1,17,1,false
2,scalar,3,0,true,0.002090148,0.002060156,0.002060156,0.002110818,0,128,2,0,4294967291|4294967279|4294967231,0|0|0,79228160909397609687688407659,2,0,0,2,7,2,certified_explicit_C_forced_CRT_last6_PEPS,1,17,2,false
3,scalar,3,0,true,0.001653897,0.001587546,0.001587546,0.001856993,0,128,3,0,4294967291|4294967279|4294967231,0|0|0,79228160909397609687688407659,6,0,0,4,7,2,certified_explicit_C_forced_CRT_last6_PEPS,1,17,4,false
4,scalar,3,2,true,0.002158930,0.002113948,0.002113948,0.002189510,0,128,4,1,4294967291|4294967279|4294967231,2|2|2,79228160909397609687688407659,24,0,0,10,7,2,certified_explicit_C_forced_CRT_last6_PEPS,1,17,10,false
5,scalar,3,10,true,0.001854082,0.001806631,0.001806631,0.001857292,0,128,5,6,4294967291|4294967279|4294967231,10|10|10,79228160909397609687688407659,120,0,0,33,7,2,certified_explicit_C_forced_CRT_last6_PEPS,6,17,33,false
6,scalar,3,4,true,0.002117509,0.002105268,0.002105268,0.002137798,0,128,6,2,4294967291|4294967279|4294967231,4|4|4,79228160909397609687688407659,720,0,0,79,7,2,certified_explicit_C_forced_CRT_last6_PEPS,2,17,79,false
7,scalar,3,40,true,0.003437628,0.003264134,0.003264134,0.003536731,0,128,7,23,4294967291|4294967279|4294967231,40|40|40,79228160909397609687688407659,5040,0,0,318,7,2,certified_explicit_C_forced_CRT_last6_PEPS,23,17,318,false
8,scalar,3,92,true,0.004740898,0.004439732,0.004439732,0.004855361,0,128,8,46,4294967291|4294967279|4294967231,92|92|92,79228160909397609687688407659,40320,0,0,1032,7,2,certified_explicit_C_forced_CRT_last6_PEPS,46,17,1032,false
9,scalar,3,352,true,0.007945921,0.007849609,0.007849609,0.008014892,0,128,9,203,4294967291|4294967279|4294967231,352|352|352,79228160909397609687688407659,362880,0,0,4707,7,2,certified_explicit_C_forced_CRT_last6_PEPS,203,17,4707,false
10,scalar,3,724,true,0.008827251,0.007587863,0.007587863,0.009320202,0,128,10,362,4294967291|4294967279|4294967231,724|724|724,79228160909397609687688407659,3628800,0,0,17774,7,2,certified_explicit_C_forced_CRT_last6_PEPS,362,17,17774,false
11,scalar,3,2680,true,0.011128174,0.010943759,0.010943759,0.011583305,0,128,11,1515,4294967291|4294967279|4294967231,2680|2680|2680,79228160909397609687688407659,39916800,0,0,91397,7,2,certified_explicit_C_forced_CRT_last6_PEPS,1515,17,91397,false
12,scalar,3,14200,true,0.014838738,0.013154880,0.013154880,0.015217037,0,128,8,97635,4294967291|4294967279|4294967231,14200|14200|14200,79228160909397609687688407659,479001600,0,0,195026,7,2,certified_explicit_C_forced_CRT_last6_PEPS,97635,17,195026,false
13,scalar,3,73712,true,0.015034973,0.012877403,0.012877403,0.016504426,0,128,7,177724,4294967291|4294967279|4294967231,73712|73712|73712,79228160909397609687688407659,6227020800,0,0,260941,7,2,certified_explicit_C_forced_CRT_last6_PEPS,177724,17,260941,false
14,scalar,3,365596,true,0.015420331,0.014756367,0.014756367,0.015778470,0,128,6,120742,4294967291|4294967279|4294967231,365596|365596|365596,79228160909397609687688407659,87178291200,0,0,153366,7,2,certified_explicit_C_forced_CRT_last6_PEPS,120742,17,153366,false
15,scalar,3,2279184,true,0.031871316,0.031065418,0.031065418,0.035083591,0,128,6,244887,4294967291|4294967279|4294967231,2279184|2279184|2279184,79228160909397609687688407659,1307674368000,0,0,300830,7,2,certified_explicit_C_forced_CRT_last6_PEPS,244887,17,300830,false
16,scalar,3,14772512,true,0.069049885,0.066540887,0.066540887,0.072610235,0,128,5,70906,4294967291|4294967279|4294967231,14772512|14772512|14772512,79228160909397609687688407659,20922789888000,0,0,81989,7,2,certified_explicit_C_forced_CRT_last6_PEPS,70906,17,81989,false
17,scalar,3,95815104,true,0.365453022,0.357606613,0.357606613,0.378001538,0,128,5,114434,4294967291|4294967279|4294967231,95815104|95815104|95815104,79228160909397609687688407659,355687428096000,0,0,130323,7,2,certified_explicit_C_forced_CRT_last6_PEPS,114434,17,130323,false
18,scalar,3,666090624,true,2.220825361,2.197053949,2.197053949,2.237174177,0,128,5,160850,4294967291|4294967279|4294967231,666090624|666090624|666090624,79228160909397609687688407659,6402373705728000,0,0,180846,7,2,certified_explicit_C_forced_CRT_last6_PEPS,160850,17,180846,false
19,scalar,3,4968057848,true,17.040845412,16.969711467,16.969711467,17.082277481,0,128,5,243742,4294967291|4294967279|4294967231,673090557|673090569|673090617,79228160909397609687688407659,121645100408832000,0,0,271181,7,2,certified_explicit_C_forced_CRT_last6_PEPS,243742,17,271181,false
