N,count,known_count,verified,median_elapsed_s,min_elapsed_s,peak_rss_bytes,peak_states,tensor_entries_examined,tensor_entries_matched,repeats
1,1,1,true,0.000000790,0.000000670,0,1,2,2,3
2,0,0,true,0.000017790,0.000015420,0,2,9,9,3
3,0,0,true,0.000007950,0.000006190,0,3,28,28,3
4,2,2,true,0.000022251,0.000020360,0,6,100,100,3
5,10,10,true,0.000067101,0.000063162,0,14,363,363,3
6,4,4,true,0.000178004,0.000173634,0,43,1322,1322,3
7,40,40,true,0.000891211,0.000886641,0,145,5424,5424,3
8,92,92,true,0.003438158,0.003430498,0,538,23102,23102,3
9,352,352,true,0.007785388,0.006305163,0,2153,105002,105002,3
10,724,724,true,0.028986291,0.028930850,0,8838,493812,493812,3
11,2680,2680,true,0.140868053,0.140795141,0,39307,2506357,2506357,3
12,14200,14200,true,0.752044975,0.745345872,0,188100,13592813,13592813,3
13,73712,73712,true,4.290079523,4.249923470,0,978362,77317801,77317801,3
14,365596,365596,true,26.085643003,26.069152098,0,5479934,464957208,464957208,3
