backend,mode,N,count,known_count,verified,executor_elapsed_s,peak_rss_bytes,peak_support,peak_rank,local_tensor_entries_examined,local_tensor_entries_accepted,cartesian_pair_upper_bound,matching_entry_pairs,contractions,d4_representatives,orbit_weight_sum,row_elapsed_s,row_peak_support,tree_to_row_support,plan_seed,plan_ntrials,plan_niters,optimizer,package_version,optimization_seconds,dense_time_log2,dense_space_log2,dense_readwrite_log2
treesa,d4,2,0,0,true,0.000121872,294912,3,4,68,8,4,1,3,1,2,0.000145853,1,3.000000000,20260729,10,50,"TreeSA-space-only","1.3.0",3.178833813,6.169925001,4.000000000,6.339850003
treesa,d4,3,0,0,true,0.000564613,311296,17,8,306,91,104,25,16,2,3,0.000175254,2,8.500000000,20260729,10,50,"TreeSA-space-only","1.3.0",3.539424352,12.674192268,8.000000000,11.034111146
treesa,d4,4,2,2,true,0.001039213,331776,44,10,544,235,1448,219,30,2,4,0.000289717,3,14.666666667,20260729,10,50,"TreeSA-space-only","1.3.0",4.203102267,15.658434655,10.000000000,13.137151260
treesa,d4,5,10,10,true,0.006231102,454656,704,14,1275,670,118407,8041,72,3,5,0.000302207,8,88.000000000,20260729,10,50,"TreeSA-space-only","1.3.0",5.762436188,20.355910239,14.000000000,17.067948977
treesa,d4,6,4,4,true,0.014547051,581632,2296,16,1836,1090,1939252,19580,105,3,6,0.000377119,22,104.363636364,20260729,10,50,"TreeSA-space-only","1.3.0",8.223511345,24.153750548,16.000000000,19.113866773
treesa,d4,7,40,40,true,0.005059375,454656,768,20,3332,2149,292949,11833,192,4,7,0.000246876,86,8.930232558,20260729,10,50,"TreeSA-space-only","1.3.0",11.436009965,28.363854595,20.000000000,23.100074704
treesa,d4,8,92,92,true,0.084158858,2592768,15904,22,4352,2981,6736964,180776,252,4,8,0.001004023,272,58.470588235,20260729,10,50,"TreeSA-space-only","1.3.0",15.124572181,33.026705537,22.000000000,25.088262278
treesa,d4,9,352,352,true,0.119455063,1949696,10139,26,6885,4936,17905166,409807,400,5,9,0.002276472,1210,8.379338843,20260729,10,50,"TreeSA-space-only","1.3.0",19.582336273,36.400323245,26.000000000,30.431048317
treesa,d4,10,724,724,true,4.211250826,69173248,491832,28,8500,6316,112345980740,18713618,495,5,10,0.009531328,4510,109.053658537,20260729,10,50,"TreeSA-space-only","1.3.0",25.835744775,42.003731476,28.000000000,31.121075335
treesa,d4,11,2680,2680,true,1.842145514,40513536,367284,32,12342,9439,6921123794,7139942,720,6,11,0.031942039,22253,16.504920685,20260729,10,50,"TreeSA-space-only","1.3.0",33.346235641,46.091167731,32.000000000,35.107043007
