algorithm_class,N,chi,status,estimate,exact_count,absolute_error,relative_error,median_elapsed_s,min_elapsed_s,max_elapsed_s,estimate_min,estimate_max,repeats,warmup,peak_rss_bytes,peak_sparse_support,peak_dense_mps_elements,peak_retained_bond,peak_pretruncate_rank,svd_calls,truncated_svd_calls,max_discarded_fraction,sum_discarded_fraction,svd_elapsed_s,tensor_entries_examined,tensor_entries_accepted,blas_threads,julia_threads,truncation_occurred
truncated_boundary_mps_float64,5,0,floating_uncapped_check_pass,9.9999999999999361,10,6.3948846218409017e-14,6.3948846218409018e-15,0.005380439,0.005356038,0.005397350,9.9999999999999361,9.9999999999999361,3,1,383291392,NA,2314,16,16,184,0,2.1001460874614018e-29,1.4259226158751503e-28,0.003475126,425,345,128,1,false
truncated_boundary_mps_float64,5,4,approximate_diagnostic,3.0007438160151212,10,6.9992561839848788,0.69992561839848788,0.002226965,0.002224305,0.002245815,3.0007438160151212,3.0007438160151212,3,1,388927488,NA,448,4,8,184,17,0.21094377774903642,1.1411356070158427,0.001316286,425,345,128,1,true
truncated_boundary_mps_float64,5,8,approximate_diagnostic,5.0036234427373936,10,4.9963765572626064,0.49963765572626062,0.003880779,0.003866909,0.004013701,5.0036234427373936,5.0036234427373936,3,1,379305984,NA,1056,8,13,184,21,0.13868018248645247,0.39095771466028079,0.002465306,425,345,128,1,true
truncated_boundary_mps_float64,5,16,floating_uncapped_check_pass,9.9999999999999361,10,6.3948846218409017e-14,6.3948846218409018e-15,0.005309738,0.005279107,0.005371019,9.9999999999999361,9.9999999999999361,3,1,376684544,NA,2314,16,16,184,0,2.1001460874614018e-29,1.4259226158751503e-28,0.003408512,425,345,128,1,false
truncated_boundary_mps_float64,5,32,floating_uncapped_check_pass,9.9999999999999361,10,6.3948846218409017e-14,6.3948846218409018e-15,0.005355169,0.005339258,0.005408280,9.9999999999999361,9.9999999999999361,3,1,369262592,NA,2314,16,16,184,0,2.1001460874614018e-29,1.4259226158751503e-28,0.003432480,425,345,128,1,false
truncated_boundary_mps_float64,5,64,floating_uncapped_check_pass,9.9999999999999361,10,6.3948846218409017e-14,6.3948846218409018e-15,0.005427200,0.005336839,0.076070205,9.9999999999999361,9.9999999999999361,3,1,386625536,NA,2314,16,16,184,0,2.1001460874614018e-29,1.4259226158751503e-28,0.003494064,425,345,128,1,false
truncated_boundary_mps_float64,5,128,floating_uncapped_check_pass,9.9999999999999361,10,6.3948846218409017e-14,6.3948846218409018e-15,0.005418590,0.005400450,0.005419831,9.9999999999999361,9.9999999999999361,3,1,372879360,NA,2314,16,16,184,0,2.1001460874614018e-29,1.4259226158751503e-28,0.003482649,425,345,128,1,false
truncated_boundary_mps_float64,6,0,floating_uncapped_check_pass,3.9999999999999778,4,2.2204460492503131e-14,5.5511151231257827e-15,0.042352470,0.037585163,0.075579645,3.9999999999999778,3.9999999999999778,3,1,371302400,NA,11024,33,33,285,0,4.6515632467483048e-29,4.9352022983203598e-28,0.027391974,612,516,128,1,false
truncated_boundary_mps_float64,6,4,approximate_diagnostic,0.03744722595467001,4,3.9625527740453301,0.99063819351133253,0.003612174,0.003598153,0.003655354,0.03744722595467001,0.03744722595467001,3,1,373792768,NA,576,4,8,285,44,0.37499999999999856,2.0382376815705148,0.002209659,612,516,128,1,true
truncated_boundary_mps_float64,6,8,approximate_diagnostic,-1.2643600041277359e-07,4,4.0000001264360003,1.0000000316090001,0.007467041,0.007368230,0.007489262,-1.2643600041277359e-07,-1.2643600041277359e-07,3,1,367419392,NA,1744,8,15,285,59,0.13207547169811332,0.64903946534779555,0.004944882,612,516,128,1,true
