variant,code_commit,N,count,verified,repeats,median_elapsed_s,min_elapsed_s,peak_rss_bytes,peak_states,tensor_entries_examined,tensor_entries_matched
baseline,dde47b7fad35e6d2cbd94422d2f70559ca80d883,10,724,true,3,0.019144100,0.015768100,7036928,8838,493812,493812
buffer_reuse,96535e63a3feb69a6db2c129100134addd6c288a,10,724,true,3,0.008196800,0.008035200,6762496,8838,493812,493812
baseline,dde47b7fad35e6d2cbd94422d2f70559ca80d883,11,2680,true,3,0.077946400,0.076387300,11685888,39307,2506357,2506357
buffer_reuse,96535e63a3feb69a6db2c129100134addd6c288a,11,2680,true,3,0.043203500,0.040763100,11804672,39307,2506357,2506357
baseline,dde47b7fad35e6d2cbd94422d2f70559ca80d883,12,14200,true,3,0.483585500,0.475956900,28160000,188100,13592813,13592813
buffer_reuse,96535e63a3feb69a6db2c129100134addd6c288a,12,14200,true,3,0.245591700,0.237387100,28147712,188100,13592813,13592813
baseline,dde47b7fad35e6d2cbd94422d2f70559ca80d883,13,73712,true,5,3.103225300,2.767898900,144674816,978362,77317801,77317801
buffer_reuse,96535e63a3feb69a6db2c129100134addd6c288a,13,73712,true,5,1.741572900,1.473639700,144859136,978362,77317801,77317801
baseline,dde47b7fad35e6d2cbd94422d2f70559ca80d883,14,365596,true,3,17.611200900,17.496449600,698527744,5479934,464957208,464957208
buffer_reuse,96535e63a3feb69a6db2c129100134addd6c288a,14,365596,true,3,11.089654400,10.761009600,698531840,5479934,464957208,464957208
