backend,N,count,known_count,verified,median_elapsed_s,min_elapsed_s,peak_rss_bytes,peak_support,tensor_entries_examined,tensor_entries_matched,row_operator_candidates,row_operator_matched,repeats
hash,10,724,724,true,0.004926300,0.004644400,7008256,8838,17,17,308110,33764,5
hash,11,2680,2680,true,0.021050800,0.020771900,11923456,39307,17,17,1565047,156885,5
hash,12,14200,14200,true,0.113695700,0.113083500,28123136,188100,17,17,8461752,789394,5
hash,13,73712,73712,true,0.868104200,0.825714800,144941056,978362,17,17,47909758,4201149,5
hash,14,365596,365596,true,6.038000200,5.743259300,698527744,5479934,17,17,286010088,23859616,5
sort_reduce,10,724,724,true,0.003407200,0.003182400,6623232,8838,17,17,308110,33764,5
sort_reduce,11,2680,2680,true,0.016332900,0.015936100,10190848,39307,17,17,1565047,156885,5
sort_reduce,12,14200,14200,true,0.081879200,0.081324000,22044672,188100,17,17,8461752,789394,5
sort_reduce,13,73712,73712,true,0.457663900,0.451953900,107462656,978362,17,17,47909758,4201149,5
sort_reduce,14,365596,365596,true,3.085014900,2.845746100,465862656,5479934,17,17,286010088,23859616,5
